ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,views,label
28,-1452.53202758,1423.67250071,-2704.02505675,-2445.94214341,-345.534503166,-264.437869737,-166.333007005,-365.546437958,138.579737265,240.130232018,-31.958666695,-60.1314042689,-49.8352962552,91.0489980099,-71.2936039695,33.801576965,18.313705586,18.1482292929,3.2695984972,0.2247323352,17840,1
29,-3632.06099993,-1217.85168632,-2056.31755457,-883.407823341,-1270.22873707,-61.6891923992,-384.24448566,-640.714251906,286.645639501,308.508235677,71.5431884832,-128.766578996,54.511620551,134.175604464,48.6920361367,-88.6856449957,-46.6790619417,58.9421434373,-14.8643572735,-33.3329149957,26097,2
30,-1917.85269463,2676.83182548,-3214.74258258,-2945.81000002,-68.0355616555,-377.881924524,137.649562561,-339.675981489,119.292932421,187.751822519,-14.4270920104,-28.6336687069,-123.402590945,158.44675689,-73.4956285052,-44.6433326776,50.1452543784,-13.9463437477,27.0123476537,-16.3627558418,47298,2
31,-12014.4167665,-2845.00786413,183.94440134,-1487.90564518,-313.472379745,-869.961228806,-139.534283519,-418.224728524,-340.955728079,-229.130879994,-50.5105949343,-137.382739589,114.294019975,-79.649630793,-215.459030377,-99.9863577391,-64.8919622449,8.0852164711,10.4828519682,12.2747329093,36728,2
32,-2915.91876051,-3005.12318997,-2263.11019128,-266.056695261,-1153.41894532,368.142237463,304.950780165,-318.149574215,541.756787037,-335.65885652,-229.589910712,-96.9493745056,-41.7364774882,-49.0333129972,-17.7159064221,-43.7078067661,83.5709947668,11.416749803,-19.0950506941,0.1552599583,22418,2
33,-5622.16177406,-5122.82661254,1043.61207646,1459.48091307,-329.953478266,-1626.82238629,1515.36346551,-438.155772506,406.966369532,167.615826586,-448.621679561,-49.6928003753,4.5039550591,-52.8249099775,-45.5400552611,-77.278029402,-12.2032656962,19.1530500405,58.9416488178,6.3125443288,4975,1
34,-1439.55517555,-3263.17732748,-2452.86794243,127.46903384,-1208.71514577,-628.805649324,576.945834041,4.0992043721,478.303779626,-363.218438843,-92.5372418198,-71.9773488561,-271.389295041,29.667591923,62.4000300269,-178.62445154,31.0655237406,-4.0876880586,-24.5600145115,-47.5975507287,37812,2
35,-3942.0390718,493.539093523,-2331.98149397,-1941.72405184,506.267459025,-1271.57977085,678.311213274,-379.027913664,695.339759263,-24.9206053517,-275.937273669,-39.146509115,-52.4121482739,178.934585609,-121.185822672,6.2986681702,33.8350488003,6.3596995165,2.5868612986,-14.1497677571,51226,2
36,-7017.508762,5076.30127506,751.915472871,-3016.0162511,-428.424225905,-675.788138616,-344.137918481,-318.575445238,328.61876821,-22.0993059462,-48.970848167,-126.646242766,-118.507888627,-61.5811685483,129.351513112,-36.9818615355,37.7265526746,23.8632904845,7.6222436967,-33.9495244488,15257,1
37,-4910.39867417,-664.21676762,-1401.48190387,-1445.99973997,-433.460676653,-749.014063918,69.8210128405,-64.1626948883,293.277732394,-71.2484310005,-260.999481869,-66.0778499727,-79.8283462609,-29.1981373227,2.9529134747,-11.8051192566,-46.1640329287,-2.2768994868,17.6027244789,-9.7563976214,45759,2
38,-3886.52978052,-5939.55903743,874.027777087,1659.30131809,-1902.29546457,-493.353734189,371.162262964,-38.2329662669,438.520915573,124.215171605,-263.360463583,-48.469878705,-190.596435451,43.5425788156,-80.3058688817,11.5210471307,-47.8729680324,-56.2704479727,-7.1543122957,3.2455444411,28116,2
39,-772.452150659,-1932.26691568,-4248.18889951,-1461.73177396,-1828.67081867,30.7706484501,887.55988268,-391.983745454,76.4474193297,-267.743904101,-73.8599733364,-81.972037187,-17.5910158959,49.9606841802,45.6448066178,-108.838458229,-15.5141247329,25.8500629769,-32.2001922369,-37.71031626,16162,1
40,-1276.47739077,34.8069761433,-2141.64826361,-1472.23939419,-1208.41289318,-158.732817481,-226.901042611,46.3487849775,197.345487127,-61.3357299052,-147.512467858,-117.123710139,41.5753016408,-26.5071933054,53.0472861897,-63.8279939589,-19.2795981397,46.5786839719,-5.4653037112,-5.8649714245,25467,2
41,-4821.97436742,2059.51536906,-1631.80381855,-2617.87856598,-678.876833679,44.9551698058,-334.598662172,-12.9031142292,122.889299939,-3.7111129699,-40.7422280287,-71.5135443361,-90.0528724744,76.4727212344,21.0561120324,-80.4284694973,5.0435088484,6.6286046478,-10.7584737516,-6.9366650434,153856,3
42,-4850.19341913,2163.23224767,1895.827693,-1706.46453471,430.069158286,-779.998800241,-612.97104154,-138.386956061,-366.744170995,145.407104208,136.204819846,-136.277532227,-57.3370979626,-92.9232010297,94.3466624494,-55.9515173909,9.8509910111,-42.1592023092,-17.7487640633,-2.1586338153,3674101,5
43,-7169.10659797,-943.45296427,-1586.64899386,-1253.81431668,-1448.9377715,116.345375955,-57.2144929738,-9.7803716273,548.183264169,210.850804603,-138.488796321,-78.9428891162,-25.0180919628,-98.8496292262,-29.1297454129,-24.5871901349,-9.0334675558,-42.0467858572,61.6828177767,-1.5281487611,101218,3
44,-8556.42095718,6014.36328533,235.854670328,-3813.63724954,154.377725899,-417.684251731,-697.330938559,-213.387910296,289.737799816,640.81268593,348.825176505,-122.636430486,-36.0590756308,-22.2071485684,-51.7558875715,9.1981475187,10.1461377234,7.6255427204,-6.0152631795,-35.5042288012,2447353,4
45,-3441.94266328,3105.16260159,30.3419957774,-2194.18475582,-1160.05298841,25.5473544176,-451.252117896,-161.380488059,-112.605367894,-77.4785546265,-178.007866319,-81.8561594389,-73.9375805125,93.1384519238,57.9100359266,-18.8940321891,17.7843783663,-17.1796000225,7.7161872643,-16.5344508554,203601,3
46,-3289.7947916,5404.45479229,35.7751529165,-3622.14021171,-268.798624291,-455.865101057,-188.492056661,-293.83528751,475.128695465,240.375610218,135.147907267,-142.27437161,-15.3709760553,-131.696069876,43.2944886091,7.5066878556,-27.243435974,25.3073332806,-27.7769059483,-10.0865143481,158726,3
47,5891.16121944,-100.567516958,2868.72754944,893.150336895,6231.34125514,-3913.43991483,307.146806236,827.296028991,-458.298928851,193.303927075,-402.982156028,60.5670262469,-367.091017311,83.6022103331,69.4524750727,61.0597009496,-129.389556649,280.984650194,-52.5968542443,-9.6912089399,248952564,5
48,-10411.00069,4597.9424175,1764.15480069,-3821.46956112,-544.024547043,-576.695414571,255.925921525,-225.604410609,291.404034905,-41.7077890674,273.982190428,-163.940241221,-104.780538784,-89.1663562562,35.7770142338,88.0965351864,-39.3462645551,4.214652032,8.6901521097,-4.5090667841,119035,3
49,-7128.06717498,2852.68582726,236.895967824,-2500.14974576,-1016.71843926,-176.882773462,-858.037149102,-71.7904622679,517.14596371,-209.462324027,-53.2492158695,-169.235902883,42.3853791622,20.7294580613,-4.7797539833,-34.4331515456,24.5728756595,24.192302452,-5.063847284,-2.1872823099,113788,3
