data_set_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
69,3547.1828991453,2024.0187299427,1358.8547812182,149.2072620025,607.1190953941,-846.4127321728,64.4014988842,-380.797592988,364.5988678698,-5.7436950903,118.266047621,51.8799193528,-19.9275325029,33.4808010841,-3.4350814249,9.5979678175,-11.8622296285,31.6960800191,-4.9320529669,-5.5248307191,246541,3
70,-353.6507216383,-549.34064342,3696.3930640343,265.9608687551,2217.612575554,-364.8981794893,-0.1174112092,-479.2834495749,-0.6112889731,-114.2251504351,75.7075419149,-255.7999425114,123.6919437318,96.3798040871,-37.7021556094,-23.486938858,-11.8539642348,-11.1944848995,13.3994165229,16.0076144878,187795,3
71,9527.9824650267,-3252.0747058251,3334.2377683919,884.1365750576,1655.6162135032,-812.5169803224,26.9890308354,-808.5748171443,-347.0270655443,-52.3979679192,122.9607786754,-43.1711569995,74.0623586291,-62.1202620262,-42.8082194419,-41.0473896113,-11.9779529284,5.7927236235,-10.6920654647,15.820407273,451869,4
72,-10703.6563949851,1822.3069972009,-917.1487598737,1538.8601871491,-1307.8963126505,-261.7818553249,21.8300022665,304.736145477,-280.3798368943,119.2146633262,79.3165619233,54.9311717303,84.8546929568,-64.1105009407,58.1690188773,17.1077316618,39.8163508344,-4.3227013308,-2.8949518085,-30.457155476,1742121744,5
73,-7902.2596408315,-148.997613466,-1443.1773739064,-416.3145955345,-205.7755239741,-1103.2319217445,175.2647087396,-42.5029633456,63.2797959078,-181.6498176848,-66.809567532,-187.752692968,45.9911799694,-108.2467727041,37.695765219,-55.7635644422,-44.9261219619,12.3188257977,9.5134022477,3.9941993836,258736583,5
74,-9925.4468305048,-2418.8384715172,-857.5655935411,-835.6793223619,371.351108601,-436.194152011,330.8254207173,278.1627131387,-3.7700356179,511.3087715485,40.6201233614,-162.7725537202,75.0390320786,-88.9924745798,52.6205225088,-6.0569962026,-25.7849446927,-12.1015293831,2.1706973042,4.8347617249,644803,4
75,-11830.6093824505,-170.7364953834,612.553936472,1882.7980597568,-714.2117134353,1389.3780230619,-433.58672937,385.8560910012,336.1501322283,137.7011581301,-121.5919084731,20.1226596626,-40.8981109309,32.0337286931,59.2322340287,54.4366218034,-2.5779885325,-2.3913961857,-12.3342252578,-32.982306871,146416439,5
76,5511.0448909606,4747.2685100473,3535.092636453,-974.0172909733,559.1895688311,-656.7685129822,-349.3618628411,1022.3737477033,-328.4958581645,-48.6458073275,37.8217108,-33.7352416543,16.7821718786,-14.9029336435,41.4320732719,36.5487579529,-52.2733960197,10.714280766,-9.6191277561,20.6110714066,5281427,5
77,773.635534512,-7036.0362423772,2054.6651427552,702.8471545958,-1305.2184968296,-567.5846659401,155.9086827494,-355.0683607749,-826.7368293231,191.8124649169,73.1942232913,-19.8796489567,-71.3633247296,107.6532173708,36.415783023,-13.2992314047,82.9487220355,-1.8584624989,-20.5371487746,2.2177040443,44404,2
78,2305.1181978306,-4794.5990730856,1070.8974932486,998.8242064988,-736.8482747169,-397.1079955725,83.6335240479,142.8714851862,-269.1015474793,-195.8067503758,204.2186920124,-143.0239703179,-60.6102675968,84.9623347212,59.2827680572,-4.4671393997,36.8737495463,19.8131588266,7.2691435109,-22.7023835308,38737,2
79,2463.1173239754,2608.9224853903,737.8523605942,302.7064651321,-1125.388452285,-472.4918228053,-424.7994555713,-590.4947863719,-185.9496592721,400.4483059228,172.9328551945,21.0620739489,-120.2347750271,118.7764775121,1.1285562383,-30.2412178392,31.4880174408,15.168242058,-5.3679502454,-12.7650733718,31013,2
80,8445.0535765908,2559.1553556705,-3142.829450557,1119.4937146871,-561.2536294991,1238.2366167837,-715.5443794216,351.6226404162,-223.5553790444,112.4127244205,164.878351272,-110.8339766315,-1.72286462,-88.3134077531,-47.3476267518,58.2569569912,22.456825147,31.3471456853,-8.4016717151,-16.8458998423,44488,2
81,3416.793684889,-554.5678489795,279.871065222,580.7620318129,-872.4560403505,-128.4683444766,23.6540192967,377.0365294396,-40.5844103756,418.8724771129,43.1162341572,-152.1352045708,-60.875407806,156.1557528524,23.0867139758,21.9346284356,13.1782944208,20.2151210902,-19.0165682621,-22.3571908854,80224,3
82,-274.4975863061,-1125.4706858998,249.3253719637,1353.817933552,-768.3338460236,-1225.838583389,499.6995195627,244.8927648968,-370.0244307112,-249.2179399001,-169.0425304136,-178.6763411816,131.007573397,-23.0955684134,87.9709319586,43.6638671036,-16.0873678567,-15.6827995341,2.2388593417,-10.8381874728,52743,2
83,7238.8481572502,-2352.2568061376,751.5666477302,1457.3807708851,-405.2001854399,-129.40476449,308.2002853213,678.3187644471,-492.390481742,133.5137647152,63.0765464054,-68.2132748171,-134.2165934041,69.4691022719,-45.9898843059,-29.0349844763,-6.9047145703,42.8733023737,-21.0529826992,-20.3047525031,41652,2
84,8238.2389060176,1892.2809253807,-2529.2561947547,1048.1035724558,-769.5537655074,506.0889564453,-326.315471784,177.7853271915,-9.2322621629,-75.0264078209,8.233851074,105.4951585473,-109.8312363659,15.2822527735,-71.5123214337,51.3767030608,14.2286514501,49.2029703025,-14.6274388168,-30.3677135554,46175,2
85,12045.1436789814,4329.6794253123,-297.5867407215,445.8893843247,-762.476142973,290.2052861216,-10.1321748382,356.6798594612,-446.6024358914,-76.8850825762,-47.1344073015,-94.8207092557,52.4720936722,-35.0486911998,-11.5878407848,69.8242316976,-24.267019018,-24.4377846414,2.9477077266,-12.97974344,38818,2
86,8230.0343610595,2227.9756494804,-639.8475163565,836.1963304712,-764.1427719814,190.7490143736,48.7233590001,19.0569700396,130.531843328,244.6480826343,-95.1980781365,38.3057674834,-133.4603308913,128.0315495661,63.4592848173,2.6538364435,-27.6596378847,-16.3888102503,-8.271802724,-17.0548891538,42746,2
